episode_id,context_g,context_l,context_t,selected,gate_mode,prototype_id,observed_reward,expected_selected,b1_expected,oracle,oracle_expected,regret,b1_regret,memory_advantage,shifted
300000,0.399876814118438,0.60129626735119,0.298583578468507,GLOBAL,MEMORY,4,0.7350387527519519,0.7007699269427062,0.8358297868801201,HYBRID,0.8439090936280037,0.14313916668529747,0.008079306747883597,-0.13505985993741387,0
300001,0.27377713671968973,0.8064711564468818,0.862807330502046,GLOBAL,MEMORY,0,0.705033153257144,0.660289736688555,0.8318967716419066,HYBRID,0.9028099995199341,0.24252026283137917,0.07091322787802756,-0.1716070349533516,0
300002,0.8960646758315033,0.8991123579380228,0.17647421915379513,GLOBAL,MEMORY,6,0.7852511258171748,0.790377559338242,0.8468151541976302,HYBRID,0.9523188300997979,0.16194127076155584,0.10550367590216769,-0.05643759485938815,0
300003,0.9149581898373795,0.07836189798984827,0.36782190287295413,GLOBAL,MEMORY,1,0.8601764099158395,0.8995203586851256,0.7877851727671156,GLOBAL,0.8995203586851256,0.0,0.11173518591801002,0.11173518591801002,0
300004,0.6408569753311824,0.7167096081872293,0.14210851006992797,GLOBAL,MEMORY,6,0.6801516054801171,0.7448809159057378,0.8396161297743133,HYBRID,0.8825611849296062,0.13768026902386843,0.0429450551552929,-0.09473521386857553,0
300005,0.316584365371279,0.3713349855941699,0.15586743175275752,GLOBAL,MEMORY,2,0.7303790444339975,0.7024277596778149,0.841854647652279,B1,0.841854647652279,0.13942688797446412,0.0,-0.13942688797446412,0
300006,0.3711377735435588,0.35316779312142654,0.2702756065090013,GLOBAL,MEMORY,2,0.7319190914660786,0.7222239541420241,0.8493734258265895,B1,0.8493734258265895,0.12714947168456536,0.0,-0.12714947168456536,0
300007,0.11491988727684854,0.1580545321733976,0.654533789182173,GLOBAL,MEMORY,7,0.7157944758163529,0.6905486405066381,0.862730579975563,B1,0.862730579975563,0.1721819394689249,0.0,-0.1721819394689249,0
300008,0.8372087883131747,0.05568629676217418,0.86085909371162,GLOBAL,MEMORY,8,0.8393468148561093,0.8968177021613131,0.8119125644243848,GLOBAL,0.8968177021613131,0.0,0.08490513773692832,0.08490513773692832,0
300009,0.33578994275381413,0.7940160233467887,0.197450783600834,GLOBAL,MEMORY,4,0.6930001371552325,0.6579469858224021,0.8112399448965953,LOCAL,0.8502258494316823,0.19227886360928026,0.03898590453508699,-0.15329295907419327,0
300010,0.7703882347375668,0.46792272767102294,0.5570348594394486,GLOBAL,MEMORY,5,0.8158715802019525,0.8208612594944282,0.8380841538122544,HYBRID,0.9020597874459438,0.08119852795151561,0.06397563363368941,-0.0172228943178262,0
300011,0.2036327958660492,0.23868920891755951,0.966944105210283,GLOBAL,MEMORY,7,0.7040563163260852,0.7133101450113742,0.8758732511642905,B1,0.8758732511642905,0.16256310615291625,0.0,-0.16256310615291625,0
300012,0.03026295508727006,0.7143191604021425,0.36154673105088897,GLOBAL,MEMORY,9,0.5118437893527555,0.5929964710059598,0.7997373728168458,LOCAL,0.861245025162558,0.2682485541565982,0.061507652345712205,-0.206740901810886,0
300013,0.04530503817572551,0.6266833702308381,0.17115287967046733,GLOBAL,MEMORY,9,0.5335868991703151,0.6017118918881021,0.8003358486224097,LOCAL,0.8423664852888169,0.2406545934007147,0.04203063666640716,-0.19862395673430755,0
300014,0.4718339400771131,0.015875790179309957,0.3508818037709136,GLOBAL,MEMORY,1,0.796670251409423,0.7912981837116596,0.8175586201590123,B1,0.8175586201590123,0.026260436447352653,0.0,-0.026260436447352653,0
300015,0.9445179209738515,0.31696047444139386,0.5122891916672475,GLOBAL,MEMORY,1,0.9099552340916908,0.8829080782702516,0.8102869719440933,GLOBAL,0.8829080782702516,0.0,0.07262110632615837,0.07262110632615837,0
300016,0.8839564166489152,0.48203186888668614,0.3239758025797155,GLOBAL,MEMORY,1,0.8891309375503517,0.8417041181397071,0.8208050682822103,HYBRID,0.8859999834188163,0.044295865279109115,0.06519491513660591,0.0208990498574968,0
300017,0.48445531316962076,0.9767421159190965,0.1144234795934308,GLOBAL,MEMORY,4,0.6502434088383241,0.6721820319016129,0.8051939949637792,LOCAL,0.8823856081708077,0.21020357626919484,0.0771916132070285,-0.13301196306216634,0
300018,0.8996141644298493,0.2256959205145107,0.0043227207304668,GLOBAL,MEMORY,1,0.8327680478878312,0.8669458539119336,0.7862594493159917,GLOBAL,0.8669458539119336,0.0,0.0806864045959419,0.0806864045959419,0
300019,0.18568841690542615,0.6022761625611646,0.2725207065245435,GLOBAL,MEMORY,9,0.6893077284570968,0.6441814700838074,0.8175738086085227,B1,0.8175738086085227,0.17339233852471525,0.0,-0.17339233852471525,0
300020,0.2591548856533299,0.9046201987764377,0.1138683288803739,GLOBAL,MEMORY,9,0.6274811304421796,0.6222418962831046,0.7929175081053663,LOCAL,0.8906866155370631,0.2684447192539585,0.09776910743169676,-0.17067561182226176,0
300021,0.9350020730369546,0.7796622310156962,0.40128023074444064,GLOBAL,MEMORY,6,0.8172777904229372,0.821579478190058,0.843624021868077,HYBRID,0.9588862397354285,0.13730676154537047,0.11526221786735158,-0.02204454367801889,0
300022,0.04945411330191629,0.6491771688253957,0.5599364391894132,GLOBAL,MEMORY,9,0.5660524733231869,0.6117549023751332,0.8144196131256981,LOCAL,0.8360534771226906,0.22429857474755743,0.02163386399699252,-0.2026647107505649,0
300023,0.3151135632309209,0.9015092858405185,0.9807967587526422,GLOBAL,MEMORY,0,0.6869740031621211,0.6631723149017565,0.8323202125413379,HYBRID,0.9328390665637429,0.2696667516619864,0.10051885402240501,-0.16914789763958138,0
300024,0.5660218055807663,0.6673295200408833,0.5696519874127515,GLOBAL,MEMORY,3,0.6985892420780025,0.7441756866684758,0.8546814623397007,HYBRID,0.9149489612089541,0.1707732745404783,0.06026749886925342,-0.11050577567122488,0
300025,0.44770602915852264,0.014048354964797172,0.3840397753398591,GLOBAL,MEMORY,1,0.8258542164730145,0.786238958245636,0.8206689770780963,B1,0.8206689770780963,0.03443001883246022,0.0,-0.03443001883246022,0
300026,0.16712023079179605,0.9181153243864614,0.3922130637961452,GLOBAL,MEMORY,9,0.6305367308242733,0.6050438129933761,0.7956089150642726,LOCAL,0.8968891647315801,0.29184535173820403,0.10128024966730753,-0.1905651020708965,0
300027,0.8341878276090159,0.7701873656226741,0.7572375331387783,GLOBAL,MEMORY,3,0.747664976480468,0.8071834772977866,0.8651694643666438,HYBRID,0.9916410033099096,0.18445752601212295,0.1264715389432658,-0.05798598706885716,0
300028,0.6662877296428327,0.7392376176643298,0.9318366481404315,GLOBAL,MEMORY,3,0.8020055158849877,0.7724813950316298,0.8714374748838976,HYBRID,0.9842169531185648,0.211735558086935,0.11277947823466727,-0.09895607985226773,0
300029,0.5943585431877826,0.10164105415790337,0.08418885185595715,GLOBAL,MEMORY,1,0.8797223571648092,0.8048619602855538,0.803950154951848,GLOBAL,0.8048619602855538,0.0,0.0009118053337058285,0.0009118053337058285,0
300030,0.07369253827682531,0.36878461603298696,0.9819375559876996,GLOBAL,MEMORY,7,0.7117098810086196,0.6643640327076471,0.8556701360190151,B1,0.8556701360190151,0.191306103311368,0.0,-0.191306103311368,0
300031,0.6339045939878669,0.5557356461613205,0.7288994543915639,GLOBAL,MEMORY,5,0.7454570904839406,0.7799939005292338,0.8629024623495388,HYBRID,0.9293274312782812,0.14933353074904743,0.06642496892874239,-0.08290856182030504,0
300032,0.7419506162001632,0.8134752830633751,0.5485094784232346,GLOBAL,MEMORY,3,0.8012484077172612,0.7717454105971345,0.8562184057878724,HYBRID,0.9592892832958909,0.1875438726987564,0.10307087750801847,-0.08447299519073792,0
300033,0.17001429445177008,0.4749818107102234,0.6902091091838255,GLOBAL,MEMORY,7,0.602034961187553,0.6679121725477483,0.8432109630666768,B1,0.8432109630666768,0.1752987905189285,0.0,-0.1752987905189285,0
300034,0.12673799302644717,0.3586987369934025,0.6777586962510629,GLOBAL,MEMORY,7,0.6449805961161591,0.6702407906351999,0.8485534883326861,B1,0.8485534883326861,0.17831269769748614,0.0,-0.17831269769748614,0
300035,0.7839504126335154,0.2990860721894455,0.9456848036801939,GLOBAL,MEMORY,8,0.8574569093993757,0.8563073227323864,0.8390382449116822,HYBRID,0.9160154238901936,0.059708101157807225,0.07697717897851142,0.017269077820704193,0
