episode_id,context_g,context_l,context_t,selected,gate_mode,prototype_id,observed_reward,expected_selected,b1_expected,oracle,oracle_expected,regret,b1_regret,memory_advantage,shifted
100000,0.8768979113244357,0.9652463327469452,0.4066395444604375,B1,MEMORY,6,0.9630436056658168,0.8491977080646168,0.8491977080646168,HYBRID,0.9813960342198953,0.1321983261552785,0.1321983261552785,0.0,0
100001,0.8999680366237155,0.1919111327788009,0.7838692324522045,B1,MEMORY,8,0.8150059652563191,0.8147102169904951,0.8147102169904951,GLOBAL,0.894478430562276,0.07976821357178099,0.07976821357178099,0.0,0
100002,0.16490040183657195,0.5205583812103842,0.7184577866837307,B1,MEMORY,7,0.8571653382471303,0.8402856731174442,0.8402856731174442,HYBRID,0.8408396852661929,0.0005540121487487282,0.0005540121487487282,0.0,0
100003,0.8127077065190482,0.25060132023723547,0.19816977208020825,B1,MEMORY,1,0.8057958968646506,0.8029582799806634,0.8029582799806634,GLOBAL,0.8471769384288906,0.044218658448227255,0.044218658448227255,0.0,0
100004,0.10262391524716563,0.8774590072533524,0.31476726606879846,B1,MEMORY,9,0.7878245625549177,0.7906038832822571,0.7906038832822571,LOCAL,0.8963814540741478,0.10577757079189076,0.10577757079189076,0.0,0
100005,0.4935978576235509,0.8279273972644128,0.8552409644828489,B1,MEMORY,0,0.8223331549933931,0.847463275408045,0.847463275408045,HYBRID,0.9475826790438052,0.10011940363576022,0.10011940363576022,0.0,0
100006,0.5614163370972597,0.3154662599018291,0.3972695200544667,B1,MEMORY,1,0.8592576461394587,0.8362147746265443,0.8362147746265443,B1,0.8362147746265443,0.0,0.0,0.0,0
100007,0.7363620932715178,0.15916543400785488,0.5330860222655402,B1,MEMORY,1,0.8575516564146598,0.8151477081495286,0.8151477081495286,GLOBAL,0.8483468728376183,0.0331991646880897,0.0331991646880897,0.0,0
100008,0.2585738981937571,0.758968999990392,0.9371952308957441,B1,MEMORY,0,0.8343162005114313,0.837456201092099,0.837456201092099,HYBRID,0.9048957273454721,0.06743952625337313,0.06743952625337313,0.0,0
100009,0.4381896799959396,0.47195358001870136,0.9893397551443528,B1,MEMORY,5,0.8503856053486301,0.8768724782039532,0.8768724782039532,HYBRID,0.9241149930180065,0.04724251481405328,0.04724251481405328,0.0,0
100010,0.7233088454494228,0.7740683514761253,0.4161098790383079,B1,MEMORY,6,0.8869951793789482,0.852583634679396,0.852583634679396,HYBRID,0.9365204226925715,0.0839367880131755,0.0839367880131755,0.0,0
100011,0.5608416179741268,0.5049571529913263,0.43171063019311917,B1,MEMORY,4,0.8119558762959135,0.8527976680091007,0.8527976680091007,HYBRID,0.8776640356593697,0.02486636765026895,0.02486636765026895,0.0,0
100012,0.7561604752891634,0.17892711596060573,0.17909646172279414,B1,MEMORY,1,0.8076906881174086,0.8009851897226271,0.8009851897226271,GLOBAL,0.8405033635115936,0.03951817378896649,0.03951817378896649,0.0,0
100013,0.16410171004807705,0.5052972905616797,0.9867122788156395,B1,MEMORY,0,0.8636254054472832,0.8521728447115374,0.8521728447115374,HYBRID,0.8716495987124266,0.019476754000889218,0.019476754000889218,0.0,0
100014,0.7388817814006468,0.10580593484924727,0.7962323082994925,B1,MEMORY,8,0.8818083508689586,0.8212032246078678,0.8212032246078678,GLOBAL,0.8632995202312433,0.04209629562337558,0.04209629562337558,0.0,0
100015,0.17216686727941544,0.8601145834287062,0.7675352764039409,B1,MEMORY,0,0.7769352446085809,0.8156655937642144,0.8156655937642144,HYBRID,0.8753467732986526,0.05968117953443819,0.05968117953443819,0.0,0
100016,0.6065352555322957,0.8859946355916234,0.04221970101347672,B1,MEMORY,6,0.8072075976189951,0.8193320376357929,0.8193320376357929,HYBRID,0.8772529860754062,0.05792094843961337,0.05792094843961337,0.0,0
100017,0.4848363582696502,0.44962437027798574,0.12721377049148874,B1,MEMORY,4,0.7673160698326735,0.8422715917803264,0.8422715917803264,B1,0.8422715917803264,0.0,0.0,0.0,0
100018,0.3844843986612799,0.30094918731111475,0.6375849745401446,B1,MEMORY,7,0.8725919640025409,0.8588205820735926,0.8588205820735926,B1,0.8588205820735926,0.0,0.0,0.0,0
100019,0.9172031635729861,0.6604061612943876,0.8006129667059402,B1,MEMORY,3,0.8065687550258321,0.8514807584859497,0.8514807584859497,HYBRID,0.9815310413494293,0.13005028286347953,0.13005028286347953,0.0,0
100020,0.47456867246583134,0.05718163787328523,0.679481212861492,B1,MEMORY,5,0.8670131090584315,0.833788285747056,0.833788285747056,B1,0.833788285747056,0.0,0.0,0.0,0
100021,0.5970165849818787,0.045946270554139024,0.22579280751673914,B1,MEMORY,1,0.8452631481697738,0.8049460871464504,0.8049460871464504,GLOBAL,0.8164845438542939,0.01153845670784348,0.01153845670784348,0.0,0
100022,0.6777972576161992,0.7834374936052684,0.14875941332464204,B1,MEMORY,6,0.8658189979190308,0.8374991576538602,0.8374991576538602,HYBRID,0.8960855806106186,0.05858642295675842,0.05858642295675842,0.0,0
100023,0.8553391892632437,0.10270958705398359,0.4121223805925003,B1,MEMORY,1,0.7749000360904372,0.7962745270469592,0.7962745270469592,GLOBAL,0.8824267101797404,0.08615218313278117,0.08615218313278117,0.0,0
100024,0.31261789411187446,0.4391607656377634,0.5648521840868572,B1,MEMORY,7,0.796488345480449,0.8524706576414032,0.8524706576414032,B1,0.8524706576414032,0.0,0.0,0.0,0
100025,0.22752387789170014,0.7245884455160316,0.6313458159524724,B1,MEMORY,0,0.7898439045813478,0.8254886672281524,0.8254886672281524,HYBRID,0.8592333491339192,0.03374468190576685,0.03374468190576685,0.0,0
100026,0.31116796603879493,0.9033710484336198,0.6177923753843261,B1,MEMORY,0,0.778272544498144,0.8173354484237871,0.8173354484237871,HYBRID,0.8886383621285677,0.07130291370478059,0.07130291370478059,0.0,0
100027,0.5050325866118953,0.9353778060373322,0.5217412642434853,B1,MEMORY,4,0.8301456665454438,0.8264420330157045,0.8264420330157045,HYBRID,0.9184456935145838,0.09200366049887931,0.09200366049887931,0.0,0
100028,0.1759136969755012,0.8593646232196921,0.6388215986700692,B1,MEMORY,0,0.8353152784251476,0.8108767898472675,0.8108767898472675,LOCAL,0.8731605104399578,0.06228372059269027,0.06228372059269027,0.0,0
100029,0.8484858747290773,0.5778101334746116,0.92566675442627,B1,MEMORY,3,0.8815806004525099,0.8553726108766935,0.8553726108766935,HYBRID,0.974520907204401,0.11914829632770751,0.11914829632770751,0.0,0
100030,0.5686014494862143,0.3713664732101394,0.41910440759230094,B1,MEMORY,1,0.8627655166212107,0.8409853782016061,0.8409853782016061,HYBRID,0.8500539395120013,0.009068561310395129,0.009068561310395129,0.0,0
100031,0.28360122636781615,0.9685595296089481,0.3577631783850791,B1,MEMORY,9,0.7706041515647913,0.7995138628761126,0.7995138628761126,LOCAL,0.8970604351826362,0.09754657230652364,0.09754657230652364,0.0,0
