trajectory,seed,B1_F,B1_FI,B1_E,GLOBAL_F,GLOBAL_FI,GLOBAL_E,LOCAL_F,LOCAL_FI,LOCAL_E,HYBRID_F,HYBRID_FI,HYBRID_E
0,12926518886047711258,0.9399389183340927,0.9826629407255053,0.7009729206496642,0.9155676743438553,0.9793650310945531,0.3953687851251176,0.759251782857942,0.8509416077165759,0.3630021458027909,0.9155676743438556,0.9793650310945531,0.7546619803618139
1,8945337749112656795,0.8740159640263758,0.8845245760184903,2.1160330993543286,0.8198810992051717,0.8581878839346767,1.8137201750216931,0.174043491043737,0.3969455542282303,0.41466152265641876,0.8198810992051718,0.8581878839346767,2.1637596647762214
2,5560819480025800935,0.8120190954152844,0.8055671027438203,5.793431044744627,0.5745887861907846,0.6694468191591603,5.405172745946398,0.0010454924738297346,0.4489767088487136,0.4265976962834416,0.5745887861907846,0.6694468191591603,5.625691133978381
3,10614934100031375992,0.7635358229690404,0.953727273896882,1.4359091710347056,0.7334135923330213,0.9428284359424001,1.0208768997894084,0.787134936210549,0.6217158633994655,0.4858326751758317,0.7334135923330212,0.9428284359423998,1.4678850531571883
4,17701285081388938685,0.7474392955568577,0.8872133489548639,2.725378679705427,0.6941821435527337,0.8668688933009047,2.328695196241374,0.4571934876324707,0.5437803565426649,0.5195777333373998,0.6941821435527339,0.8668688933009047,2.7644720207598907
5,11352992796570928855,0.982163975937259,0.8809863346904986,2.641120646749101,0.9640337792546386,0.8357215557697892,2.285471230468857,0.9104297123711755,0.6718069397997014,0.4408120313598777,0.9640337792546386,0.8357215557697893,2.647704710075486
6,15036088755276077095,0.8478194794856414,0.8808536908584155,3.637816739528648,0.797708471436076,0.8582709431408456,3.2776228104615783,0.0003529801054296359,0.5831902857880198,0.5307270179012251,0.797708471436076,0.8582709431408456,3.655653472641821
7,1808861011317943947,0.4206362279666585,0.7810805720530797,6.6642525017469305,0.3220494382215181,0.7573839122687611,6.131952921813441,0.9925423004466463,0.6564775259819992,0.7864263365987101,0.3220494382215181,0.7573839122687611,6.640047012205304
8,900069337922489162,0.9885303125739499,0.939050565409301,1.6392395655422614,0.980233008055271,0.933336426484728,1.277451609305607,0.9984553566378875,0.8018292771508733,0.49563508464494593,0.980233008055271,0.933336426484728,1.7156318930044727
9,6646380308840506227,0.8029195622892341,0.9088156232430943,2.370855695231748,0.7512045955578753,0.8846436911936831,1.959909301413912,0.0967594941987352,0.4750371177609569,0.49654984816172926,0.7512045955578752,0.8846436911936831,2.385640919675616
