t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
62,0,0,GLOBAL,DEPLOY,1,0.7910911111829512,0.06007982120535793,0.055571249889987184,-0.004508571315370746
63,0,0,LOCAL,DEPLOY,1,0.8294450163699847,0.015006008738956966,0.0,-0.015006008738956966
64,0,0,B1,DEPLOY,1,0.768277650959119,0.0,0.0,0.0
65,0,0,B1,DEPLOY,1,0.8395297388851026,0.0,0.0,0.0
66,0,0,B1,DEPLOY,1,0.8811779004235304,0.0,0.0,0.0
67,0,0,HYBRID,DEPLOY,1,0.9276474142114641,0.0,0.10884892396341161,0.10884892396341161
68,0,0,B1,DEPLOY,1,0.8272992697103935,0.0,0.0,0.0
69,0,0,LOCAL,DEPLOY,1,0.818114713547933,0.04934603118232739,0.03050383847812732,-0.018842192704200067
70,0,0,B1,DEPLOY,1,0.8982957026019397,0.0,0.0,0.0
71,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.10801810456260774,0.10801810456260774
72,0,0,GLOBAL,DEPLOY,1,0.8650891763304677,0.0,0.07685820990378267,0.07685820990378267
73,0,0,LOCAL,DEPLOY,1,0.8069241938196611,0.05203878750870172,0.08929724521267479,0.03725845770397307
74,0,0,HYBRID,DEPLOY,1,0.9273921565692159,0.0,0.05882001553524818,0.05882001553524818
75,0,0,B1,DEPLOY,1,0.8910758874706456,0.03224235529550057,0.03224235529550057,0.0
76,0,0,B1,DEPLOY,1,0.8249032855643403,0.0,0.0,0.0
77,0,0,HYBRID,DEPLOY,1,0.8688883219514659,0.0,0.10258936055222656,0.10258936055222656
78,0,0,HYBRID,DEPLOY,1,0.924544551124301,0.0,0.08421380719173677,0.08421380719173677
79,0,0,GLOBAL,DEPLOY,1,0.8878346278248999,0.0,0.10670818891346945,0.10670818891346945
80,0,0,LOCAL,DEPLOY,1,0.907239056656521,0.0,0.1263563239123625,0.1263563239123625
81,0,0,LOCAL,DEPLOY,1,0.7970573767161178,0.0,0.03632367090583333,0.03632367090583333
82,0,0,B1,DEPLOY,1,0.8860222490228471,0.0,0.0,0.0
83,0,0,B1,DEPLOY,1,0.8615627412367145,0.0,0.0,0.0
84,0,0,B1,DEPLOY,1,0.8396669533365533,0.0,0.0,0.0
85,0,0,HYBRID,DEPLOY,1,0.9923674596173944,0.0,0.12252874436359118,0.12252874436359118
86,0,0,B1,DEPLOY,1,0.8370192433469802,0.0,0.0,0.0
