t,policy,mode,reward,prototype_id
106,HYBRID,DEPLOY,0.9392806243267412,0
107,HYBRID,LEARN_COVERAGE,0.8753697198789056,8
108,HYBRID,LEARN_COVERAGE,0.8437403600207891,10
109,GLOBAL,LEARN_COVERAGE,0.8228362276865071,1
110,HYBRID,LEARN_COVERAGE,0.8417952288317129,1
111,GLOBAL,LEARN_COVERAGE,0.8556419534488219,8
112,B1,LEARN_COVERAGE,0.8139516753684397,1
113,B1,DEPLOY,0.8781036574585149,3
114,HYBRID,LEARN_COVERAGE,0.8709169234745524,10
115,B1,LEARN_COVERAGE,0.8330355964185957,10
116,LOCAL,LEARN_COVERAGE,0.6559156821789138,1
117,B1,DEPLOY,0.8469336588627504,3
118,HYBRID,LEARN_COVERAGE,0.7264746815693247,5
119,B1,LEARN_COVERAGE,0.8253817560171839,6
120,LOCAL,LEARN_COVERAGE,0.8826391761600559,10
121,B1,LEARN_COVERAGE,0.7989685827649643,4
122,GLOBAL,LEARN_COVERAGE,0.6764632614880518,4
123,HYBRID,DEPLOY,0.7031313489154409,1
124,B1,LEARN_COVERAGE,0.8216126374507412,8
125,GLOBAL,LEARN_COVERAGE,0.699933460138373,10
126,B1,DEPLOY,0.832727564236482,3
127,GLOBAL,LEARN_COVERAGE,0.7703742400178021,5
128,GLOBAL,LEARN_UCB,0.7894226401820691,1
129,B1,DEPLOY,0.8461104640704373,3
130,GLOBAL,DEPLOY,0.8641436400681166,1
131,B1,DEPLOY,0.8296725136263338,3
132,HYBRID,LEARN_COVERAGE,0.9179828916133954,9
133,B1,LEARN_COVERAGE,0.7888671903628591,7
134,HYBRID,LEARN_COVERAGE,0.9005542945121585,9
135,GLOBAL,DEPLOY,0.9021856616879971,1
136,GLOBAL,LEARN_COVERAGE,0.6513386582742308,2
137,LOCAL,LEARN_COVERAGE,0.7647883553988696,5
138,LOCAL,LEARN_COVERAGE,0.8061879280080908,4
139,GLOBAL,DEPLOY,0.79627830839739,1
140,LOCAL,LEARN_COVERAGE,0.8220556591709172,2
141,B1,LEARN_COVERAGE,0.8177772149669329,2
142,LOCAL,LEARN_COVERAGE,0.8741551250122933,10
143,LOCAL,LEARN_COVERAGE,0.7838487948309711,7
144,LOCAL,LEARN_COVERAGE,0.652819074435717,8
145,B1,DEPLOY,0.8041837820231422,5
146,B1,DEPLOY,0.8417950133339605,5
147,GLOBAL,DEPLOY,0.9075333747567493,1
148,B1,DEPLOY,0.8277196672165271,5
149,B1,DEPLOY,0.8687959881696199,3
150,GLOBAL,LEARN_COVERAGE,0.7786140552675979,7
151,GLOBAL,DEPLOY,0.9196956975221845,1
152,B1,LEARN_COVERAGE,0.872194904944672,9
153,GLOBAL,DEPLOY,0.8512411852519328,1
154,HYBRID,DEPLOY,0.9268064454677504,0
155,B1,DEPLOY,0.8153915039190976,3
156,HYBRID,LEARN_COVERAGE,0.8909290527411302,7
157,B1,DEPLOY,0.9275743515725778,3
158,B1,DEPLOY,0.8185811271432974,3
159,HYBRID,LEARN_COVERAGE,0.7914630315718101,4
160,B1,DEPLOY,0.93301330797247,3
161,HYBRID,LEARN_COVERAGE,0.8243024896142419,6
162,HYBRID,DEPLOY,0.9801298283313532,0
163,GLOBAL,LEARN_COVERAGE,0.7546348833273717,9
164,GLOBAL,DEPLOY,0.8296327007500764,1
165,B1,LEARN_COVERAGE,0.7862967456069093,7
166,GLOBAL,LEARN_COVERAGE,0.6012357898540542,6
167,LOCAL,LEARN_COVERAGE,0.7421358975184399,7
168,HYBRID,LEARN_COVERAGE,0.9068280990163414,10
169,GLOBAL,DEPLOY,0.8235963819616445,1
170,LOCAL,LEARN_COVERAGE,0.7803111282248557,9
171,B1,DEPLOY,0.8086915245631574,5
172,HYBRID,DEPLOY,0.9489892387063135,0
173,LOCAL,LEARN_COVERAGE,0.7041224500572235,6
174,HYBRID,LEARN_COVERAGE,0.901075112154191,8
175,B1,LEARN_COVERAGE,0.8789223838921534,4
176,B1,DEPLOY,0.8260663231736572,3
177,B1,LEARN_COVERAGE,0.8957139416159657,10
178,GLOBAL,LEARN_COVERAGE,0.7998037261583378,7
179,B1,LEARN_COVERAGE,0.7922845637057836,6
180,B1,DEPLOY,0.889859445256051,5
181,HYBRID,LEARN_COVERAGE,0.8621536930355505,9
182,HYBRID,LEARN_COVERAGE,0.8183078380517697,2
183,B1,LEARN_UCB,0.8800867419340838,5
184,HYBRID,LEARN_COVERAGE,0.7907027906894722,6
185,GLOBAL,LEARN_COVERAGE,0.636428440966928,10
186,HYBRID,DEPLOY,0.8883094219223886,0
187,B1,DEPLOY,0.7956579139149418,3
188,HYBRID,LEARN_COVERAGE,0.9045666862535698,10
189,LOCAL,LEARN_COVERAGE,0.7131636919634327,6
190,B1,DEPLOY,0.9285003311574741,3
191,HYBRID,DEPLOY,0.9696281644808786,0
192,B1,LEARN_COVERAGE,0.9244239791486989,9
193,GLOBAL,LEARN_COVERAGE,0.8913948697238154,8
194,HYBRID,DEPLOY,0.8871373528114976,7
195,GLOBAL,DEPLOY,0.8722694706205995,1
196,HYBRID,DEPLOY,0.9165707936561762,7
197,B1,DEPLOY,0.8554927379645638,3
198,GLOBAL,LEARN_COVERAGE,0.7753549338815356,9
199,B1,LEARN_UCB,0.7245414164988715,5
200,B1,LEARN_COVERAGE,0.8817664156672153,8
201,HYBRID,DEPLOY,0.9798269252303016,7
202,GLOBAL,LEARN_COVERAGE,0.6037200293087149,4
203,LOCAL,LEARN_COVERAGE,0.8766971982167662,4
204,GLOBAL,LEARN_COVERAGE,0.735019072030333,6
205,B1,DEPLOY,0.8017380302261299,3
206,HYBRID,DEPLOY,0.949311628250542,0
207,B1,LEARN_COVERAGE,0.8390803118194698,6
208,LOCAL,LEARN_COVERAGE,0.5479380809681592,8
209,B1,OUT_OF_REGION,0.8110149755544888,11
210,GLOBAL,DEPLOY,0.7732848252177172,1
211,HYBRID,DEPLOY,0.8434054921363354,0
212,HYBRID,LEARN_COVERAGE,0.8228724159956401,4
213,B1,DEPLOY,0.9129390715830727,5
214,HYBRID,DEPLOY,0.8684679977475978,7
215,HYBRID,DEPLOY,0.9402374144801653,0
216,B1,LEARN_COVERAGE,0.868358982187514,4
217,LOCAL,LEARN_COVERAGE,0.8255821146152895,10
218,GLOBAL,LEARN_COVERAGE,0.802508183423245,11
219,B1,LEARN_COVERAGE,0.7827370499028011,10
220,HYBRID,LEARN_COVERAGE,0.8409176420633331,6
221,LOCAL,LEARN_COVERAGE,0.8627624646170795,9
222,GLOBAL,DEPLOY,0.8615588778687158,1
223,GLOBAL,DEPLOY,0.8674007478232644,1
224,B1,DEPLOY,0.7816323442306445,3
225,GLOBAL,DEPLOY,0.8714701660358225,1
226,GLOBAL,LEARN_COVERAGE,0.69780690271061,2
227,B1,DEPLOY,0.9042435083898694,3
228,HYBRID,DEPLOY,0.9580313981880325,7
229,GLOBAL,LEARN_COVERAGE,0.5788520547223888,4
230,B1,DEPLOY,0.8596904597597861,3
231,HYBRID,DEPLOY,0.8457091956556644,8
232,HYBRID,DEPLOY,1.0,0
233,HYBRID,DEPLOY,0.9780668215320646,7
234,HYBRID,DEPLOY,0.9255377941943475,7
235,HYBRID,LEARN_COVERAGE,0.8468069420296808,9
236,B1,DEPLOY,0.8452725073901104,3
237,HYBRID,DEPLOY,0.9149101939540063,8
238,B1,DEPLOY,0.8385900074791404,3
239,HYBRID,DEPLOY,0.9897122297574942,0
240,GLOBAL,DEPLOY,0.8306544034377525,1
241,B1,DEPLOY,0.8684545747620266,5
242,B1,DEPLOY,0.8668720617655965,3
243,B1,LEARN_COVERAGE,0.8567397158342819,9
244,HYBRID,DEPLOY,0.964433414415129,0
245,B1,DEPLOY,0.7954895260501226,3
246,GLOBAL,LEARN_COVERAGE,0.6528193090296482,10
247,B1,DEPLOY,0.8238804988738592,3
248,LOCAL,DEPLOY,0.7286813507617835,2
249,HYBRID,DEPLOY,0.9455369285021797,7
250,HYBRID,DEPLOY,0.8485484573900598,10
251,HYBRID,DEPLOY,0.83725430258958,10
252,LOCAL,DEPLOY,0.9062142683302945,4
253,GLOBAL,LEARN_COVERAGE,0.5964805764028958,6
254,LOCAL,LEARN_COVERAGE,0.7197147632608181,6
255,HYBRID,DEPLOY,0.9143554792036461,7
256,B1,DEPLOY,0.8097263154366355,6
257,LOCAL,LEARN_UCB,0.795544317527594,4
258,HYBRID,LEARN_UCB,0.9266763444161226,7
259,B1,DEPLOY,0.8351738926852891,3
260,LOCAL,LEARN_COVERAGE,0.7678242301793116,9
261,B1,DEPLOY,0.8580136087218315,6
262,GLOBAL,LEARN_COVERAGE,0.7108152772555241,9
263,B1,DEPLOY,0.8714034375035876,3
264,B1,DEPLOY,0.8152950176744181,5
265,HYBRID,DEPLOY,0.8456148527578052,8
266,GLOBAL,DEPLOY,0.876747647341723,1
267,B1,DEPLOY,0.8306934055656319,5
268,GLOBAL,DEPLOY,0.8235938563658608,1
269,LOCAL,DEPLOY,0.8690439382819494,4
270,B1,DEPLOY,0.8360105030569048,3
271,LOCAL,DEPLOY,0.9622379936604941,2
272,B1,DEPLOY,0.8694858272916057,6
273,GLOBAL,DEPLOY,0.8824761114517936,1
274,HYBRID,DEPLOY,0.9956979594063592,8
275,LOCAL,DEPLOY,0.7899803673562847,4
276,HYBRID,DEPLOY,0.871417948473252,0
277,HYBRID,DEPLOY,1.0,0
278,HYBRID,LEARN_UCB,0.927082482085973,0
279,B1,DEPLOY,0.8378536705851605,5
280,HYBRID,DEPLOY,0.9704404758370768,8
281,B1,DEPLOY,0.8104566899953927,5
282,HYBRID,DEPLOY,0.8361386486362,8
283,HYBRID,DEPLOY,0.9100633917415212,8
284,LOCAL,DEPLOY,0.8711750445342037,2
285,HYBRID,DEPLOY,0.949604231981542,0
286,B1,DEPLOY,0.8381437860698404,6
