t,b1_policy,v01_policy,v02_policy,v02_mode,regret_b1,regret_v01,regret_v02,adv_v02_vs_b1,adv_v02_vs_v01
55,B1,B1,LOCAL,DEPLOY,0.024215520490751596,0.024215520490751596,0.009681748708906035,0.014533771781845561,0.014533771781845561
56,B1,B1,GLOBAL,DEPLOY,0.08187859344623949,0.08187859344623949,0.001949080349012755,0.07992951309722673,0.07992951309722673
57,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
58,B1,B1,B1,DEPLOY,0.0037031479505447162,0.0037031479505447162,0.0037031479505447162,0.0,0.0
59,B1,B1,B1,DEPLOY,0.006725968401187887,0.006725968401187887,0.006725968401187887,0.0,0.0
60,B1,LOCAL,HYBRID,DEPLOY,0.0868619209599153,0.061750741383283514,0.0,0.0868619209599153,0.061750741383283514
61,B1,LOCAL,HYBRID,DEPLOY,0.04584129005091031,0.06728058456939234,0.0,0.04584129005091031,0.06728058456939234
62,B1,LOCAL,HYBRID,DEPLOY,0.0677559069539998,0.0,0.007628150148084156,0.060127756805915644,-0.007628150148084156
63,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
64,B1,B1,GLOBAL,DEPLOY,0.07682775238287753,0.07682775238287753,0.04212324145353952,0.03470451092933802,0.03470451092933802
65,B1,B1,HYBRID,DEPLOY,0.09414768393301065,0.09414768393301065,0.0,0.09414768393301065,0.09414768393301065
66,B1,B1,HYBRID,DEPLOY,0.14792644123278442,0.14792644123278442,0.0,0.14792644123278442,0.14792644123278442
67,B1,LOCAL,HYBRID,DEPLOY,0.111097448930907,0.0,0.07438884464495654,0.036708604285950464,-0.07438884464495654
68,B1,GLOBAL,GLOBAL,DEPLOY,0.11228637117287155,0.0,0.0,0.11228637117287155,0.0
69,B1,B1,LOCAL,DEPLOY,0.05059557989853114,0.05059557989853114,0.010725970391262107,0.03986960950726903,0.03986960950726903
70,B1,B1,GLOBAL,DEPLOY,0.08356882808815791,0.08356882808815791,0.09698326319225736,-0.013414435104099454,-0.013414435104099454
71,B1,B1,HYBRID,DEPLOY,0.10076060861884428,0.10076060861884428,0.0,0.10076060861884428,0.10076060861884428
72,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
73,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
74,B1,B1,GLOBAL,DEPLOY,0.10266700512283577,0.10266700512283577,0.0,0.10266700512283577,0.10266700512283577
75,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
